"Date","activity"
"2004-01-04",0.1615
"2004-01-11",0.162
"2004-01-18",0.0735
"2004-01-25",0.172
"2004-02-01",0.5285
"2004-02-08",0.253
"2004-02-15",0.151
"2004-02-22",0.167
"2004-02-29",0.1745
"2004-03-07",-0.304
"2004-03-14",-0.146
"2004-03-21",-0.375
"2004-03-28",-0.248
"2004-04-04",-0.465
"2004-04-11",-0.3395
"2004-04-18",-0.2445
"2004-04-25",-0.46
"2004-05-02",-0.5535
"2004-05-09",-0.6125
"2004-05-16",-0.763
"2004-05-23",-0.814
"2004-05-30",-0.8875
"2004-06-06",-0.784
"2004-06-13",-0.998
"2004-06-20",-1.083
"2004-06-27",-1.057
"2004-07-04",-1.1005
"2004-07-11",-1.148
"2004-07-18",-1.17
"2004-07-25",-1.235
"2004-08-01",-1.2325
"2004-08-08",-1.1935
"2004-08-15",-1.204
"2004-08-22",-0.9185
"2004-08-29",-0.7475
"2004-09-05",-0.22
"2004-09-12",0.18
"2004-09-19",0.7065
"2004-09-26",0.965
"2004-10-03",0.997
"2004-10-10",1.2725
"2004-10-17",1.28
"2004-10-24",1.452
"2004-10-31",1.2015
"2004-11-07",1.0245
"2004-11-14",1.331
"2004-11-21",0.3175
"2004-11-28",1.1315
"2004-12-05",1.067
"2004-12-12",0.718
"2004-12-19",-0.6795
"2004-12-26",-1.0795
"2005-01-02",0.101
"2005-01-09",0.0785
"2005-01-16",0.1615
"2005-01-23",0.231
"2005-01-30",0.399
"2005-02-06",0.2395
"2005-02-13",0.095
"2005-02-20",0.012
"2005-02-27",0.052
"2005-03-06",-0.0705
"2005-03-13",-0.252
"2005-03-20",-0.3695
"2005-03-27",-0.3735
"2005-04-03",-0.343
"2005-04-10",-0.265
"2005-04-17",-0.4105
"2005-04-24",-0.456
"2005-05-01",-0.4685
"2005-05-08",-0.5845
"2005-05-15",-0.6795
"2005-05-22",-0.7575
"2005-05-29",-0.867
"2005-06-05",-0.7845
"2005-06-12",-0.9685
"2005-06-19",-1.0145
"2005-06-26",-1.1725
"2005-07-03",-1.1675
"2005-07-10",-1.0905
"2005-07-17",-1.0815
"2005-07-24",-1.1535
"2005-07-31",-1.118
"2005-08-07",-1.1985
"2005-08-14",-1.119
"2005-08-21",-1.0135
"2005-08-28",-0.6705
"2005-09-04",-0.303
"2005-09-11",0.0295
"2005-09-18",0.287
"2005-09-25",0.6745
"2005-10-02",0.769
"2005-10-09",0.881
"2005-10-16",1.155
"2005-10-23",1.4565
"2005-10-30",1.3025
