"Date","activity"
"2004-01-04",2.3035
"2004-01-11",2.242
"2004-01-18",2.1935
"2004-01-25",2.244
"2004-02-01",2.791
"2004-02-08",2.586
"2004-02-15",2.8685
"2004-02-22",3.0545
"2004-02-29",2.833
"2004-03-07",2.2455
"2004-03-14",2.625
"2004-03-21",2.109
"2004-03-28",2.8905
"2004-04-04",2.4715
"2004-04-11",2.514
"2004-04-18",3.1925
"2004-04-25",2.885
"2004-05-02",2.4015
"2004-05-09",2.55
"2004-05-16",2.181
"2004-05-23",1.921
"2004-05-30",1.57
"2004-06-06",1.183
"2004-06-13",0.981
"2004-06-20",0.7115
"2004-06-27",0.773
"2004-07-04",0.6665
"2004-07-11",0.772
"2004-07-18",0.891
"2004-07-25",0.9245
"2004-08-01",0.7125
"2004-08-08",1.0315
"2004-08-15",1.2975
"2004-08-22",1.5295
"2004-08-29",1.8905
"2004-09-05",2.6485
"2004-09-12",3.3425
"2004-09-19",2.9035
"2004-09-26",2.74
"2004-10-03",2.5525
"2004-10-10",2.2985
"2004-10-17",2.4045
"2004-10-24",2.495
"2004-10-31",2.2825
"2004-11-07",2.2085
"2004-11-14",2.7125
"2004-11-21",1.478
"2004-11-28",2.67
"2004-12-05",2.1635
"2004-12-12",1.4955
"2004-12-19",0.1415
"2004-12-26",0.1765
"2005-01-02",1.41
"2005-01-09",1.6025
"2005-01-16",1.8305
"2005-01-23",1.8095
"2005-01-30",2.057
"2005-02-06",2.1135
"2005-02-13",2.1955
"2005-02-20",1.9455
"2005-02-27",1.8815
"2005-03-06",1.968
"2005-03-13",1.5845
"2005-03-20",1.3695
"2005-03-27",1.641
"2005-04-03",1.933
"2005-04-10",2.2525
"2005-04-17",2.3355
"2005-04-24",2.247
"2005-05-01",1.9695
"2005-05-08",1.824
"2005-05-15",1.554
"2005-05-22",1.405
"2005-05-29",1.0435
"2005-06-05",0.973
"2005-06-12",0.627
"2005-06-19",0.407
"2005-06-26",0.347
"2005-07-03",0.3195
"2005-07-10",0.518
"2005-07-17",0.4825
"2005-07-24",0.351
"2005-07-31",0.3515
"2005-08-07",0.462
"2005-08-14",0.713
"2005-08-21",0.7835
"2005-08-28",1.2405
"2005-09-04",1.966
"2005-09-11",2.4065
"2005-09-18",1.921
"2005-09-25",1.9215
"2005-10-02",1.87
"2005-10-09",1.343
"2005-10-16",1.7185
"2005-10-23",1.558
"2005-10-30",1.6395
"2005-11-06",1.57
"2005-11-13",1.833
"2005-11-20",0.7925
"2005-11-27",1.8035
"2005-12-04",1.4175
"2005-12-11",0.9705
"2005-12-18",-0.0825
"2005-12-25",-0.46
"2006-01-01",0.6525
"2006-01-08",1.0045
"2006-01-15",1.0055
"2006-01-22",1.148
"2006-01-29",1.1995
"2006-02-05",1.153
"2006-02-12",1.123
"2006-02-19",1.055
"2006-02-26",1.228
"2006-03-05",1.1885
"2006-03-12",1.118
"2006-03-19",1.105
"2006-03-26",1.05
"2006-04-02",1.2
"2006-04-09",1.033
"2006-04-16",1.204
"2006-04-23",1.3595
"2006-04-30",1.276
"2006-05-07",1.1255
"2006-05-14",0.829
"2006-05-21",0.7145
"2006-05-28",0.484
"2006-06-04",0.3575
"2006-06-11",0.0385
"2006-06-18",0.059
"2006-06-25",-0.2115
"2006-07-02",-0.229
"2006-07-09",-0.137
"2006-07-16",-0.1885
"2006-07-23",-0.12
"2006-07-30",-0.2115
"2006-08-06",-0.2175
"2006-08-13",0.174
"2006-08-20",0.374
"2006-08-27",0.676
"2006-09-03",0.976
"2006-09-10",1.4585
"2006-09-17",1.3675
"2006-09-24",1.0815
"2006-10-01",0.992
"2006-10-08",0.9015
"2006-10-15",0.8725
"2006-10-22",0.896
"2006-10-29",1.044
"2006-11-05",0.8545
"2006-11-12",1.081
"2006-11-19",0.248
"2006-11-26",0.961
"2006-12-03",0.9415
"2006-12-10",0.549
"2006-12-17",-0.3075
"2006-12-24",-0.902
"2006-12-31",0.077
"2007-01-07",0.4085
"2007-01-14",0.422
"2007-01-21",0.739
"2007-01-28",0.7555
"2007-02-04",0.702
"2007-02-11",0.4115
"2007-02-18",0.524
"2007-02-25",0.665
"2007-03-04",0.5305
"2007-03-11",0.4905
"2007-03-18",0.5545
"2007-03-25",0.5395
"2007-04-01",0.348
"2007-04-08",0.503
"2007-04-15",0.7545
"2007-04-22",0.7875
"2007-04-29",0.6715
"2007-05-06",0.57
"2007-05-13",0.3575
"2007-05-20",0.214
"2007-05-27",0.147
"2007-06-03",0.024
"2007-06-10",-0.2005
"2007-06-17",-0.368
"2007-06-24",-0.396
"2007-07-01",-0.534
"2007-07-08",-0.3835
